Course Title,Description
COM 385.  Family Communication.  3 Credits.,"This course explores the ways in which families are built, maintained, and destroyed by communication. Family communication is a complex phenomenon, so it is not surprising that approaches to studying the family have spanned disciplines including communication, psychology, child development, sociology, and anthropology. In this course, students will be exposed to a sampling of interdisciplinary research and theories on families, but the main emphasis of the course will be on contributions to the study of families from within the communication discipline. Topics covered include family communication theories, courtship and mate selection, parent-child relationships, sibling relationships, divorce, family violence and abuse, and extended family relationships. Pre / Co requisites: COM 385 requires prerequisites of C or higher in COM 209 (or SPK 208 for internal and external transfer students), COM 211 , and COM 214 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
COM 387.  Friendship Communication.  3 Credits.,"This course explores communication in friendship relationships.  Topics covered include the communication of similarity and difference between friends in various contexts from childhood and adolescence to adulthood through the theoretical perspectives of dialectics, narrative, and dialogue. Pre / Co requisites: COM 387 requires prerequisites of C or higher in COM 209 (or SPK 208 for internal and external transfer students), COM 211 , and COM 214 . Gen Ed Attribute: Writing Emphasis. Typically offered in Fall & Spring."
COM 396.  Special Topics in Public Communication.  3 Credits.,"This course explores a specific area of study in public communication. Topics will be announced in advance. Pre / Co requisites: COM 396 requires a prerequisite of C or higher in COM 209 (or SPK 208 for internal and external transfer students), COM 211 , and COM 213 . Typically offered in Fall & Spring. Repeatable for Credit."
COM 397.  Special Topics in Relational Communication.  3 Credits.,"This course explores a specific area of study in relational communication. Topics will be announced in advance. Pre / Co requisites: COM 397 requires prerequisites of C or higher in COM 209 (or SPK 208 for internal and external transfer students), COM 211 , and COM 214 . Typically offered in Fall & Spring. Repeatable for Credit."
COM 398.  Special Topics in Organizational Communication.  3 Credits.,"This course explores a specific area of study in organizational communication. Topics will be announced in advance. Pre / Co requisites: COM 398 requires prerequisites of C or higher in COM 209 (or SPK 208 for internal and external transfer students), COM 211 , and COM 215 . Typically offered in Fall & Spring. Repeatable for Credit."
COM 399.  Directed Studies in Communication Studies.  1-6 Credits.,"Research, creative projects, reports, and readings in communication studies.  Students must apply to advisors one semester in advance of registration. Up to 6 credits may count toward major requirements. Pre / Co requisites: COM 399 requires approval of the department chairperson, junior or senior standing, and prerequisites of C or higher in COM 209 (or SPK 208 for internal and external transfer students), COM 211 , and one of the following: COM 213 , COM 214 , or COM 215 . Consent: Permission of the Department required to add. Typically offered in Fall & Spring. Repeatable for Credit."
COM 400.  Internship in Communication Studies.  3-15 Credits.,"This internship provides students the opportunity to gain vital hands-on work experience in the communication discipline that cannot come from classroom experience alone. Credits earned vary based upon the amount of time spent on the job. All internships must be approved by the Department's Internship Coordinator and must meet federal guidelines. This course counts as an applied area course rather than as an upper-division course in the COM major. Please see the department website for more information. Pre / Co requisites: COM 400 requires prerequisites of C or higher in COM 209 , COM 211 , and one of the following: COM 213 , COM 214 , or COM 215 ; one 300-400 level COM course with a grade of C or higher; enrollment as a COM major or minor; and a minimum 2.8 cumulative GPA. Consent: Permission of the Department required to add. Typically offered in Fall, Spring & Summer. Repeatable for Credit."
COM 490.  Capstone in Communication Studies.  3 Credits.,"This course is designed to integrate students' learning experiences across the Communication Studies major. Students will be asked to bring together their understanding of communication theory and research with their oral communication skills. Topics examined vary by instructor. Pre / Co requisites: COM 490 requires prerequisites of C or higher in COM 209 (or SPK 208 for internal and external transfer students), COM 206 , COM 211 , COM 213 , COM 214 , COM 215 , and COM 309 . Typically offered in Fall & Spring."
COM 499.  Communication Seminar.  3 Credits.,Intensive examination of a selected area of study in the field of communication studies. Topics will be announced in advance. Pre / Co requisites: COM 499 requires a prerequisite of SPK 208 . Typically offered in Fall & Spring. Repeatable for Credit.
CPL 120.  Leadership Theories for Today's Society.  3 Credits.,"Introduction to the study of leadership theory and practice as it relates to the students' civic and professional development.  The course content places special emphasis on leadership practices and the relationship between leaders and followers inspired by social inequities surrounding issues of race, ethnicity, class, gender and inclusion. Gen Ed Attribute: Diversity Requirement. Typically offered in Spring."
CPL 301.  Contemporary Challenges in Business Leadership.  3 Credits.,One of six junior-senior level seminars students may select  from  to  fulfill the CPL minor.  Students reflect on their personal leadership development to date. CPL 301 gives specific focus to the range of contemporary leadership challenges and opportunities within the multi-faceted fields of business.
CPL 302.  Contemporary Challenges in Political Leadership.  3 Credits.,"One of six junior-senior level seminars students may select from to fulfill the CPL minor. Students reflect on their personal leadership development to date. This course gives specific focus to the range of contemporary leadership challenges and opportunities within the multi-faceted fields of community development and politics. Pre / Co requisites: CPL 302 requires prerequisites of CPL Minor, junior/senior status, and completion of one of the following: CRJ 110 , HIS 150 , HON 310 , MAT 161 , PSC 100 , SOC 100 , SWO 225 , or corequisites of CHE 371 , COM 340 , PHI 355 . Typically offered in Spring."
CPL 303.  Contemporary Challenges in Educational Leadership.  3 Credits.,One of six junior-senior level seminars students may select from to fulfill the CPL minor.  Students reflect on their personal leadership development to date. CPL 303 gives specific focus to the range of contemporary leadership challenges and opportunities within the multi-faceted fields and contexts of education.
CPL 304.  Contemporary Challenges in Arts Leadership.  3 Credits.,One of six junior-senior level seminars student may selecte from to fulfill the CPL minor.  Students reflect on their personal leadership development to date. CPL 304 gives specific focus to the range of contemporary leadership challenges and opportunities within the multi-faceted fields of the Arts and Art Administration.
CPL 305.  Contemporary Challenges in Public Health Leadership.  3 Credits.,One of six junior-senior level seminars students may select from to fulfill the CPL minor.  Students reflect on their personal leadership development to date. CPL 305 gives specific focus to the range of contemporary leadership challenges and opportunities within the mulch-faceted fields of public health.
"CPL 306.  Contemporary Challenges in Science, Technology, Engineering and Mathematics (STEM) Leadership.  3 Credits.","One of six junior-senior level seminars students may select from to fulfill the CPL minor. Students reflect on their personal leadership development to date. This course gives specific focus to the range of contemporary leadership challenges and opportunities within the multi-faceted fields of science, technology, engineering and mathematics; the STEM programs. Pre / Co requisites: CPL 306 open to CPL minors only, 60+ earned credits, and one of the following: BIO 210 , CHE 101 , CHE 103 , CHE 107 , COM 201 , CSC 110 , CSC 115 , CSC 141 , HON 314 , MAT 121 , MAT 162 , MAT 301 , PHI 125 , PHY 125 , PHY 100 , PHY 130 , PHY 170 . Typically offered in Spring."
CPL 399.  Leadership Theory to Practice.  3 Credits.,Students will identify and document six leadership competencies in a co-curricular portfolio in collaboration with the Division of Student Affairs.  Competencies will be assessed in the semester in which they are submitted.  Students in the CPL minor must have documented a minimum of three competencies by the end of their junior year and all six competencies by the fifth week of their final semester.  Students may enroll in pass/fail in the semester in which they intend to submit documentation of their final competency for assessment. Consent: Permission of the Department required to add.
CRJ 110.  Introduction to Criminal Justice.  3 Credits.,"This course is designed to describe the criminal justice system from arrest through trial, appeal, sentencing, corrections, and parole. The object of this course is to provide the student with a procedural framework of the criminal justice process."
CRJ 199.  Transfer Credits.  1-10 Credits.,Transfer Credits. Repeatable for Credit.
CRJ 210.  Theories of Crime and Delinquency.  3 Credits.,"This course is a survey of the historical and contemporary attempts to explain the phenomena of crime and criminal behavior from the perspectives of sociology, psychology, economics, biology, and law. Emphasis will be placed on contemporary theory and the analysis of evidence supportive of various theoretical positions. Distance education offering may be available."
CRJ 215.  GIS for Criminal Justice Careers.  3 Credits.,"A course in crime mapping and the analysis of maps of crime patterns, police services, locations of criminal incidents, offenders' geographical behaviors, and spatial trends in crime. Pre / Co requisites: CRJ 215 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring. Cross listed courses GEO 215 , CRJ 215 ."
CRJ 220.  Corrections.  3 Credits.,The purpose of this course is to provide the student with a survey and analysis of the correctional system and its processes from both a historical and geographical perspective. Emphasis will be placed on relating this survey and analysis to contemporary practice and future trends in the area of corrections. Pre / Co requisites: CRJ 220 Prerequisite - C or better in CRJ 110 . Distance education offering may be available.
CRJ 240.  Criminal Investigation.  3 Credits.,"This course will introduce the student to the basic principles of criminal investigation during which relevant ethical issues will be raised. It will include a review of crime scene response, evidence collection and testing during the investigation of violent, property, and other crimes. Pertinent court decisions regarding arrest, interrogation, and search and seizure will be examined. Pre / Co requisites: CRJ 240 requires a prerequisite of a grade of C or higher in CRJ 110 . Gen Ed Attribute: Ethics Requirement, Speaking Emphasis. Typically offered in Fall & Spring."
CRJ 268.  Private Security.  3 Credits.,"This course provides an in-depth examination of the various facets and interests of the private sector of security. A review of the history, organization, management, and safety issues pertaining to the private security profession will be addressed. Emphasis is placed on policy and decision making, personnel, and budgeting, as well as an examination of security programming that responds to the private sector. Pre / Co requisites: CRJ 268 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 287.  Policing in America.  3 Credits.,"This course offers an examination of the history and evolution of policing in the United States. It will include contemporary issues in policing including administration and management, policing in democracy, community policing, officer training, use of force and coercion, discretion and ethical problems and concerns. Pre / Co requisites: CRJ 287 Prerequisite - C or better in CRJ 110 . Distance education offering may be available."
CRJ 300.  Criminal Law.  3 Credits.,"This course covers the principles of criminal responsibility, the purposes and limitations of criminal law, and the elements of various criminal offenses. Substantive criminal law will cover the conduct, acts, and omissions that have been designated as crimes. These acts (or omissions) plus the mental state and other essential elements that make up criminal action will be examined. Pre / Co requisites: CRJ 300 requires prerequisites of a C or better in CRJ 110 and CRJ 210 and WRT 200 or WRT 204 or WRT 205 or WRT 206 or WRT 208 or WRT 220 . Honors students must earn a grade of C or better in HON 310 . Typically offered in Fall & Spring."
CRJ 304.  Introduction to Comparative Justice Systems.  3 Credits.,"This course explores other systems of criminal justice found in divergent and dissimilar cultures. The focus of interest will be on the historical, political, cultural, and sociological factors that influence the development of systems of justice. The course will examine and compare the status of the common, civil, socialist, and Islamic legal traditions. Pre / Co requisites: CRJ 304 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 306.  Writing for the Criminal Justice Professional.  3 Credits.,"This course examines a variety of forms of writing in criminal justice education and the criminal justice profession. Students will receive instruction, guidance, and practical experience in composing several types of written reports that might be required in the numerous occupations that fall within the discipline of criminal justice. Starting with a review of English grammar, students will learn to compose professional emails, cover letters, and resumes. They will progress to police reports, probation violation reports, pre-sentence investigation reports, and finally, research-based reports. Students will also receive instruction on essay and research report writing and the use of APA formatting. Emphasis will be on improving writing skills throughout the semester through extensive feedback from the instructor and opportunities to revise and resubmit written work. Pre / Co requisites: CRJ 306 requires prerequisites of CRJ 110 , CRJ 210 , and any 200-level WRT course, all with grades of C or better. Gen Ed Attribute: Writing Emphasis. Distance education offering may be available. Typically offered in Fall, Spring & Summer."
CRJ 310.  Juvenile Justice Administration.  3 Credits.,This course is a survey of both the formal (police/courts/corrections) and the informal (diversion) means of dealing with the problem of juvenile crime. Emphasis is not on the behavior but on society's response to it. Emphasis will also be placed on the legal rights of juveniles. Pre / Co requisites: CRJ 310 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring.
CRJ 312.  White Collar Crime.  3 Credits.,"This course analyzes the usually nonviolent criminal conduct described as official corruption, systematic crime, or violations of trust that are characterized by calculation, deceit, and personal enrichment. The influence of organized crime also is explored. Pre / Co requisites: CRJ 312 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 314.  Organized Crime.  3 Credits.,"This course provides an examination of organized crime as an American phenomenon, and a comparison to its counterparts in Europe and Asia. The historical development of organized crime throughout the world will be studied. Contemporary issues in organized crime will be addressed, including its evolution into various forms of terrorism. Pre / Co requisites: CRJ 314 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 315.  Gangs in America.  3 Credits.,"This course is designed to familiarize the student with the nature and extent of the gang problem in the United States. It provides a comprehensive understanding of gang violence, gang membership, and gang culture. This course also analyzes the complexities of gang life, examines the history of gangs, and provides an in-depth look at the various types of gangs that are prevalent today. In addition, theories as to why youth join gangs, law enforcement's response to the gang problem, how correctional agencies are coping with the gang problem in prison/jails, and the mass media's interpretation of gang life are critically examined. Finally, this course reviews gang prevention/intervention programs and addresses the legal implications of gang policies on gangs, communities, and law enforcement. Pre / Co requisites: CRJ 315 requires a prerequisite of a grade of C or higher in CRJ 110 . Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall & Spring."
CRJ 316.  Terrorism.  3 Credits.,"This course introduces terrorism through an integrative perspective by drawing on multiple disciplines of criminal justice, political science, geography, and history. Students will explore various factors that facilitate and constrain political violence from criminological, historical, and geographical perspectives. This course will also help students understand the political and societal contexts of different domestic, regional, and international responses to terrorism. Criminology will be used to analyze the illegal aspects of terrorism. A historical approach will be used to identify the historical precedents and events behind the activities of terrorist organizations. Political science will be used to investigate the conflicts between different political actors over limited resources. Finally, geography will be used to illustrate the power of geographical constraints and spatial patterns of terrorism. Students will synthesize different disciplines to have a holistic picture of terrorism by working on various research projects. Gen Ed Attribute: Interdisciplinary Requirement, Writing Emphasis. Distance education offering may be available. Typically offered in Fall & Spring."
CRJ 318.  Environmental Crime.  3 Credits.,"This course is an examination of crimes against the environment and crimes that impact the environment. The history of environmental crime, it's investigation and prosecution will be studied, as well as most current developments in this area of study. The course will also address the global impact of and response to environmental crime. Pre / Co requisites: CRJ 318 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 320.  Sex Crimes & the Law.  3 Credits.,"This course explores the nature and extent of sexual crime in America with a focus on the evolution of privacy, sexual rights, and the criminal justice response to sexual offenders.  Theories of sexual deviance, treatment, and recidivism will be examined.  Changes in laws to prevent victimization and protect the rights of victims will also be discussed. Pre / Co requisites: CRJ 320 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
"CRJ 323.  Opportunities, Situations, and Crime: Environmental Criminology.  3 Credits.","This course is designed to provide an introduction and overview of the field of environmental criminology, which considers how physical space and typical, everyday situations may provide opportunities for crime as well as obstacles for carrying it out. The course will also include discussion of important policy measures and practical crime prevention strategies, such as modifying or planning the built environment and designing products and places in such a way as to make the commission of crime very difficult. Pre / Co requisites: CRJ 323 requires prerequisite of a C or better in CRJ 110 . Typically offered in Fall."
CRJ 325.  Animal Cruelty.  3 Credits.,"This course is designed to provide an intensive examination of the relationship between animal cruelty and the criminal justice system. It will cover the commission of animal cruelty within circumstances such as child abuse, interpersonal violence, and juvenile delinquency. This course will also cover the ethical analysis of animal cruelty and it is designed to develop oral communication skills. The final goal of the course is to offer students an understanding of the impact that animal cruelty has on society and the criminal justice system. Pre / Co requisites: CRJ 325 requires a prerequisite of a grade of C or higher in CRJ 110 . Gen Ed Attribute: Ethics Requirement, Speaking Emphasis. Typically offered in Fall & Spring."
CRJ 350.  Forensic Science I - Basic Crime Scene Analysis.  3 Credits.,"This course builds on the basics of criminal investigation to elevate students' knowledge and skills in the area of forensic examination.  The student will learn to recognize and distinguish relevant evidence, proper preservation techniques, and simple field testing. The course will increase the student's knowledge of techniques used in evidentiary analyses, and serve as an introductory course for those who desire to learn laboratory skills. Pre / Co requisites: CRJ 350 requires a prerequisite of CRJ 240 ."
"CRJ 360.  Race, Ethnicity and Criminal Justice.  3 Credits.","This course will explore the relationship between race and criminal justice, including the historical background of the role race has played in the system. The impact of race and ethnicity on discretion, sentencing, and disposition will be examined at the adult and juvenile levels. In addition, the causes and remedies of minority overrepresentation in the adult and juvenile criminal justice system will be explored. Gen Ed Attribute: Diversity Requirement, Writing Emphasis. Typically offered in Fall & Spring."
"CRJ 362.  Drugs, Crime and Justice.  3 Credits.","This course examines the role that drugs play in U.S. society and its criminal justice system. Topics covered include the types of illegal drugs; the history of U.S. drug prohibition; patterns, trends, and scope of illicit drug use; the relationship between drugs and crime; criminal justice policies toward drug-related crime; the consequences of current anti-drug policies, and alternative strategies for reducing drug crime. Pre / Co requisites: CRJ 362 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall, Spring & Summer."
CRJ 365.  Victimology.  3 Credits.,"This course introduces the student to the field of victimology. Basic concepts, development, and relevant theoretical and empirical literature will be studied, as well as the policies and practices that have been developed to benefit victims of crime. Pre / Co requisites: CRJ 365 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 366.  Forensic Mental Health.  3 Credits.,"An interdisciplinary exploration of the intersection of the mental health and criminal justice systems in the United States. The primary theme is the deinstitutionalization movement which has resulted in the shifting of persons with mental illness from hospitals into correctional facilities. Important topics include school-to-prison pipeline (STPP), civil and outpatient commitment, police as first responders, training for law enforcement responding to crisis situations, and other efforts to decrease criminalization and stigmatization, such as Crisis Intervention Teams, Mental Health Courts, Assertive Community Treatment, and reentry strategies.  Students are expected to engage in innovative policy solutions through a multi-disciplinary lens, which may include strategies based on developments in the fields of criminal justice, medicine and forensic psychiatry, counseling and psychology, social work, education, and public administration. Gen Ed Attribute: Interdisciplinary Requirement, Writing Emphasis. Distance education offering may be available. Typically offered in Fall, Spring, and Winter."
"CRJ 370.  Gender, Crime, and Justice.  3 Credits.","This course provides a forum in which students are encouraged to examine the impact gender has on various aspects of the criminal justice system. The course will offer an exploration of the victimization of women and the culture that supports it. It will also address the unique issues of women as criminals, women as prisoners, and women as workers in the criminal justice system. Intersectionality is a fluid theme throughout the course, as matters of gender in the justice response oftentimes rest on marginalization based on several intersecting static traits, such as race, ethnicity, social status, and sexuality. It is important to understand the substantive nature of these groups as one attempts to identify issues and offer meaningful solutions. The ultimate aim is to help students foster an informed and reasoned openness to and an understanding of difference--a significant furtherance of the university's goal of graduating students who are committed to creating a just and equitable society. Pre / Co requisites: CRJ 370 requires a prerequisite of a grade of C or higher in CRJ 110 . Gen Ed Attribute: Diversity Requirement, Speaking Emphasis. Typically offered in Fall & Spring."
CRJ 380.  Computer Crime.  3 Credits.,"This course is an introduction to the various aspects of crimes committed with the aid of computers. While the content is not technical in focus, certain topics involve discussion of computer systems and protocols, specifically in the area of computer forensics.  Students are introduced to both the collection and analysis of digital evidence.  Since computer crime and its investigation are evolving rapidly, the curriculum changes as the semester progresses and the syllabus may be altered to include current issues or legal cases.  Students complete the course with the basic tools by which to practice computer crime investigation and a knowledge base of current law to keep up with developments in this discipline. Pre / Co requisites: CRJ 380 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
"CRJ 385.  Crime, Media, and Society.  3 Credits.","This course will examine the relationship between crime, the criminal justice system, and the mass media. The types of media examined in this course will include television, films, the internet, video games, music, news reports, comic books, novels, magazines, the radio, and scholarly research. This course will further examine how the criminal justice system (police, courts, corrections) is portrayed through various narratives and images in the mass media and its potential impact on crime and justice. Some of the topics covered will include media theory and the social construction of crime, moral panics, crime and justice in news and entertainment, media effects on attitudes toward the criminal justice system, media as a cause of crime, media-driven anti-crime efforts, news media and the courts, the use of media technology in the judicial system and law enforcement, and the relationship between the media and criminal justice policies and practices. Pre / Co requisites: CRJ 385 requires prerequisites of CRJ 110 , CRJ 220 , CRJ 287 , and majors only with junior or senior-standing. Typically offered in Fall & Spring."
CRJ 387.  Elements of Criminal Justice Research.  3 Credits.,"This course is designed to provide an overview of research methods used in criminal justice research, including data collection methods, sampling techniques, and basic statistical analyses. The course will provide hands-on application of research methods as well as critical analyses of research studies conducted by others in the field of criminal justice. Pre / Co requisites: CRJ 387 requires prerequisites of C or better in CRJ 110 , CRJ 210 , and a WRT 200 level course. Honors students must have a C or better in HON 310 . Typically offered in Fall & Spring."
CRJ 400.  Criminal Procedure.  3 Credits.,"This course is an examination of the theory and application of the broadly defined subject of criminal procedure. It is designed to develop in the  student, a sophisticated understanding of the underlying reasons for, and the applications of these rules in investigations of criminal activity, and in court proceedings. This will be accomplished through the study of the appropriate sections of the U.S. Constitution, the Bill of Rights, and selected cases and statutes. Pre / Co requisites: CRJ 400 requires prerequisites of a C or better in CRJ 300 and CRJ 387 . Distance education offering may be available. Typically offered in Fall & Spring."
CRJ 410.  Independent Studies in Criminal Justice.  1-3 Credits.,"Research projects, reports, and readings in criminal justice. Pre / Co requisites: CRJ 410 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring. Repeatable for Credit."
CRJ 435.  Interviewing and Assessing the Offender.  3 Credits.,"This course offers the undergraduate student an understanding of the psychology of interviewing and assessing suspects, witnesses and victims.  The course provides students with a solid knowledge base related to interviewing and assessment skills employed at every level of the criminal justice system.  Students learn skills through lecture, reading assignments, role play and in-class team exercises. Pre / Co requisites: CRJ 435 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 440.  Violent Crime.  3 Credits.,"This course seeks to survey the incidence of violent crime, to analyze the violent criminal, and to study the variety of means that have been developed to control criminal violence. Pre / Co requisites: CRJ 440 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 455.  Topical Seminar in Criminal Justice.  3 Credits.,"Intensive examination of a selected area of study in the field of criminal justice. Topics will be announced at the time of offering. Course may be taken more than once when different topics are presented. Pre / Co requisites: CRJ 455 requires prerequisites of a grade of C or higher in CRJ 110 , junior or senior standing, and enrollment in a CRJ major, or permission of instructor. Distance education offering may be available. Typically offered in Fall & Spring. Repeatable for Credit."
CRJ 460.  Evidence & Trial Advocacy.  3 Credits.,"This course moves a step beyond basic criminal law and criminal procedure studies and takes the student into the courtroom. The student will learn basic rules of evidence presentation and court procedure and discover how the trial process works by actively participating in it. The student will learn how to distill the issues, and to present concise, well-reasoned arguments supporting a given position. It is in this manner that the student will learn critical analysis and practical presentation. Pre / Co requisites: CRJ 460 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 461.  Notable Criminal Cases.  3 Credits.,"Selected factual accounts of criminality and criminal behavior over the past 75 years are analyzed. Selection is based on notoriety and continued dispute. The course is designed, through reading and class analysis, to illuminate a wide spectrum of criminal conduct and the related investigative, legal, ethical, and judicial response. Pre / Co requisites: CRJ 461 requires a prerequisite of a grade of C or higher in CRJ 110 . Consent: Permission of the Department required to add. Gen Ed Attribute: Ethics Requirement. Distance education offering may be available. Typically offered in Winter."
CRJ 470.  Interpersonal Relations.  3 Credits.,"This course is designed to aid a student's self analysis in terms of behavior patterns or changes affecting his or her life. This self knowledge often leads to understanding relationships with others, which can assist students in relating to other persons in their personal, social, and professional lives. Pre / Co requisites: CRJ 470 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 472.  Justice Studies.  3 Credits.,"This course is designed to address the successes, weaknesses and failures of our current system of justice by examining and analyzing sometimes controversial issues through critical inquiry and legal and social science investigation. The course will include in-depth discussions and analyses of often complex ethical issues that affect the investigation, prosecution, adjudication, and defense of criminal conduct. Pre / Co requisites: CRJ 472 requires a prerequisite of a grade of C or higher in CRJ 110 . Consent: Permission of the Department required to add. Gen Ed Attribute: Ethics Requirement. Distance education offering may be available. Typically offered in Fall & Spring."
CRJ 482.  Contemporary Legal Issues.  3 Credits.,"This course encompasses a brief review of the general principles of law and procedure, followed by an in-depth study of the more controversial legal dilemmas facing today's criminal justice system. The course is designed to shed light on each side of the issue, to enable the student to see beyond the superficial aspects of the conflict, and to understand its more profound nature. Pre / Co requisites: CRJ 482 requires a prerequisite of a grade of C or higher in CRJ 110 . Typically offered in Fall & Spring."
CRJ 487.  Ethical Issues in Criminal Justice.  3 Credits.,"This course is designed to identify and examine ethical issues among practitioners and students in the criminal justice field. Such issues may include the discretionary power of arrest, the use of deadly force, the decision to prosecute, participation in plea bargaining, representation of the guilty, and the imposition of punishment. Such a course will promote inquiry that combines ethical analysis with a practical awareness of the realities of the criminal justice system. Pre / Co requisites: CRJ 487 requires a prerequisite of a grade of C or higher in CRJ 110 . Gen Ed Attribute: Ethics Requirement. Typically offered in Fall & Spring."
CRJ 490.  Practicum.  12 Credits.,"This course is a full-time, 12-week structured work experience at a department-approved criminal justice agency under the joint supervision of a faculty instructor and an agency supervisor. In addition to working with the agency, this course requires the completion of five (5) bi-weekly reports (assigned by the instructor), a site visit, and an agency supervisor evaluation of the student's work performance. Pre / Co requisites: CRJ 490 requires prerequisites of 72 earned credits, a cumulative GPA of at least 2.0, and a C or better in CRJ 300 and CRJ 387 . Consent: Permission of the Department required to add. Typically offered in Summer."
CRL 103.  General Chemistry I Lab.  1 Credit.,"Basic laboratory studies in college chemistry utilizing the quantitative approach. Semimicro qualitative analysis and inorganic preparations. Pre / Co requisites: CRL 103 requires a prerequisite or corequisite CHE 103 . Typically offered in Fall, Spring & Summer."
CRL 104.  General Chemistry II Lab.  1 Credit.,"Basic laboratory studies in college chemistry utilizing the quantitative approach. Semimicro qualitative analysis and inorganic preparations. Pre / Co requisites: CRL 104 requires a prerequisite of CRL 103 and a prerequisite/corequisite of CHE 104 . Typically offered in Fall, Spring & Summer."
CRL 107.  General Chemistry Lab for Allied Health Sciences.  1 Credit.,"A one-semester laboratory course to complement CHE 107 . Basic laboratory techniques, both qualitative and quantitative, will be used to illustrate principles from the lecture. CHE 107 must be taken concurrently or before CRL 107 . Pre / Co requisites: CRL 107 requires a corequisite of CHE 107 . Typically offered in Fall, Spring & Summer."
CRL 199.  Transfer Credits.  1-10 Credits.,Transfer Credits. Repeatable for Credit.
CRL 230.  Introduction to Organic and Biological Chemistry Lab.  1 Credit.,A laboratory course to allow students in the environmental health program to gain hands-on experience with the topics and techniques of organic and biochemistry as they apply to the environmental health major. Pre / Co requisites: CRL 230 requires a prerequisite or corequisite of CHE 230 . Typically offered in Fall.
CRL 231.  Organic Chemistry I Lab.  2 Credits.,"Basic laboratory skills in organic chemistry including classical as well as instrumental techniques. Organic synthesis and modern spectrophotometric methods of identification. Pre / Co requisites: CRL 231 requires a prerequisite of CRL 104 . Typically offered in Fall, Spring & Summer."
CRL 232.  Organic Chemistry II Lab.  2 Credits.,"Basic laboratory skills in organic chemistry including classical as well as instrumental techniques. Organic synthesis and modern spectrophotometric methods of identification. Pre / Co requisites: CRL 232 requires a corequisite of CHE 232 . Typically offered in Fall, Spring & Summer."
CRL 321.  Analytical Chemistry I Lab.  2 Credits.,Practical experience in modern techniques of chemical analysis with emphasis on volumetric and gravimetric methods. Pre / Co requisites: CRL 321 requires co-requisite of CHE 321 . Typically offered in Fall & Spring.
CRL 341.  Physical Chemistry I Lab.  2 Credits.,"Laboratory course in physical chemistry including computational methods of data analysis, thermodynamics, chemical kinetics, electrochemistry, surface chemistry, electron microscopy and spectroscopy. Pre / Co requisites: CRL 341 requires prerequisites of CRL 104 and MAT 162 and a prerequisite or corequisite of CHE 341 . Typically offered in Fall."
CRL 342.  Physical Chemistry II Lab.  2 Credits.,"Advanced laboratory course in physical chemistry including quantum chemistry, computer applications, advanced spectroscopy, and x-ray diffraction with an independent project. It is designed to develop discipline-specific oral communication skills. Pre / Co requisites: CRL 342 requires a prerequisite of CRL 341 and a corequisite of CHE 342 . Gen Ed Attribute: Speaking Emphasis. Typically offered in Spring."
CRL 371.  Forensic Chemistry Lab.  2 Credits.,"This course is the laboratory component of the forensic chemistry lecture course ( CHE 371 ). The theoretical principles learned in the lecture will be practiced using a combination of different analytical techniques and examples of evidentiary materials. Students will practice fingerprint development, sample preparation techniques, presumptive tests, and instrumental analysis techniques such as spectroscopy, chromatography, and mass spectrometry. The course is also designed to help students become proficient in the science of writing laboratory reports and orally communicating scientific concepts and results of analyses. Pre / Co requisites: CRL 371 requires a prerequisite of CHE 361 and a corequisite of CHE 371 . Gen Ed Attribute: Speaking Emphasis. Typically offered in Fall."
CRL 411.  Inorganic Syntheses Lab.  2 Credits.,A four-hour laboratory course in the synthesis and characterization of inorganic compounds of the main group and the transition elements. Pre / Co requisites: CRL 411 requires prerequisite of CHE 409 or CHE 411 and co-requisite of CHE 341 . Typically offered in Spring.
CRL 424.  Analytical Chemistry II Lab.  2 Credits.,Practical experience in the choice and application of instrumental methods of analysis to chemical systems. Pre / Co requisites: CRL 424 requires prerequisite or co-requisite of CHE 424 . Typically offered in Spring.
